Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
127,"team0574 YWZX04 义乌中学",5,12:33:48,00:11:10,,,03:54:34,04:11:13,01:19:13,,,,02:57:38,,,
128,"team0154 ZJNU-6 浙江师范大学",5,12:42:49,"00:17:59 (-1)",,,"03:05:34 (-4)","04:06:10 (-1)","01:16:12 (-1)",,,,"01:16:54 (-1)",,,
129,"team0444 NEU_Team02 东北大学",5,12:42:56,"00:22:50 (-1)",,,"04:04:21 (-2)",03:26:53,01:14:52,,,,"01:54:00 (-2)",,,
130,"team0229 Victors 四川大学",5,12:47:38,"00:11:30 (-1)",,,,04:16:50,"00:52:11 (-1)",03:00:33,,,"03:26:34 (-1)",,,
131,"team0942 HKUST(GZ)007 香港科技大学",5,12:53:52,"00:21:14 (-1)",,,"04:00:10 (-3)","02:40:43 (-2)",02:01:24,,,,"01:30:21 (-1)",,,
132,"team0367 捉鬼小队 东南大学",5,12:54:44,"00:35:38 (-2)",,,04:30:02,03:11:27,02:25:43,,,,"01:11:54 (-1)",,,
133,"team0265 我哪有那么坏！！！ 南京理工大学",5,12:56:11,"00:22:10 (-2)",,,"04:17:00 (-5)",02:51:56,"00:52:58 (-1)",,,,"01:12:07 (-2)",,,
134,"team0895 厦大三队 厦门大学",5,12:58:42,00:10:07,,,"04:00:36 (-9)",02:20:07,"01:04:11 (-2)",,,,"01:23:41 (-1)",,,
135,"team0686 njusz01 南京大学苏州校区",5,12:58:50,00:10:10,,,"04:19:47 (-2)","03:25:49 (-1)","01:02:52 (-1)",,,,"01:40:12 (-3)",,,
136,"team0661 NJU-T11 南京大学",5,13:01:32,00:07:53,,,"02:30:27 (-1)",03:00:25,01:52:53,,(-3),,"03:09:54 (-6)",,,
137,"team0707 迷途之子 吉林大学",5,13:08:04,00:07:53,,,03:00:28,02:26:05,00:46:11,,,,"01:27:27 (-16)",,,
138,"team0005 安师大算法竞赛集训队 安徽师范大学",5,13:08:26,00:10:51,(-6),,02:51:23,02:56:11,"00:33:28 (-1)",,,,"01:56:33 (-13)",,,
139,"team0712 醉星河 吉林大学",5,13:23:50,"00:16:20 (-2)",,,"02:48:11 (-1)","03:24:18 (-1)","01:41:11 (-4)",,,,"01:53:50 (-2)",,,
140,"team0939 HKUST(GZ)004 香港科技大学",5,13:24:33,"00:09:53 (-1)",(-2),,04:30:28,03:13:47,01:34:28,,,,"02:15:57 (-4)",,,
141,"team0065 WMU-2 温州医科大学",5,13:31:26,00:15:57,,,00:48:37,"04:12:05 (-2)","01:23:18 (-1)",,,,"02:51:29 (-9)",,,
142,"team0945 HKUST(GZ)010 香港科技大学",5,13:39:01,"00:11:28 (-1)",,,"03:40:16 (-3)",03:28:45,"01:44:16 (-3)",,(-8),,"01:14:16 (-3)",,,
143,"team0889 再来一咕嘎 西安工业大学",5,13:48:36,"00:10:44 (-1)",,,"03:34:45 (-1)","04:44:04 (-3)",01:17:29,,,,"02:01:34 (-1)",,,
144,"team0290 北方工业大学1队 北方工业大学",5,13:49:32,"00:14:02 (-1)",,,"04:38:37 (-6)",03:15:21,02:04:46,,,,"00:56:46 (-1)",,,
145,"team0794 来打一辈子算法竞赛吧 北京航空航天大学",5,13:51:28,"00:23:15 (-1)",,,03:16:38,"04:45:18 (-1)",02:03:28,,,,"01:22:49 (-4)",,,
146,"team0721 心如止水 吉林大学",5,14:03:55,"00:19:02 (-1)",,,02:37:50,"04:07:27 (-1)","02:25:56 (-1)",,,,"02:53:40 (-2)",,,
147,"team0571 YWZX01 义乌中学",5,14:10:06,00:10:29,,,03:34:34,04:20:50,02:43:47,,,,03:20:26,,,
148,"team0149 ZJNU-1 浙江师范大学",5,14:17:09,"00:09:41 (-1)",,,"04:17:17 (-8)",02:29:25,01:11:12,,,,"02:09:34 (-3)",,,
149,"team0920 正在被计算机系统肘击 华南农业大学",5,14:18:36,00:09:38,,,"03:54:57 (-4)","03:33:22 (-1)",01:28:31,,,,"01:32:08 (-6)",,,
