Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
102,"team0353 HNUTEAM02 湖南大学",5,10:23:22,,(-1),,02:23:46,,"03:24:26 (-1)",,"01:12:07 (-2)",,00:45:58,01:37:05,
103,"team0526 绍一1队 绍兴市第一中学",5,10:43:39,(-1),,,"01:29:27 (-3)",,"04:31:51 (-1)",,"00:41:14 (-1)",,"01:10:39 (-2)",00:30:28,
104,"team0934 狼狼狼 西南财经大学",5,10:58:35,,,,02:18:18,,,"04:23:57 (-1)",00:48:45,,01:53:57,01:13:38,
105,"team0655 NJU-T05 南京大学",5,11:00:39,,,,02:10:32,,,"03:30:52 (-2)","01:19:54 (-1)",,01:57:28,01:01:53,
106,"team0787 树状数组 北京理工大学",5,11:07:46,,,,"03:18:56 (-7)",,(-2),"02:40:01 (-1)",00:59:01,,00:29:07,01:00:41,
107,"team0252 这一发一定过 暨南大学",5,11:31:41,,,(-1),"02:01:32 (-1)",,(-1),"03:47:37 (-2)","00:42:34 (-1)",,"02:06:14 (-3)","00:13:44 (-1)",(-1)
108,"team0054 队名 四川大学",5,11:35:52,,,,"02:13:42 (-1)",,(-20),04:06:00,00:37:38,,"02:25:12 (-4)",00:33:20,
109,"team0696 scut3 华南理工大学",5,11:39:23,,,,02:07:50,,,"04:10:13 (-1)",01:29:31,,01:43:03,"01:08:46 (-2)",
110,"team0145 南方科技大学3队 南方科技大学",5,11:42:20,(-1),,,"03:34:29 (-2)",,(-1),02:25:55,"01:30:56 (-5)",,01:13:50,00:37:10,
111,"team0348 ztz 广东药科大学",5,11:56:45,,(-2),(-4),"02:16:13 (-1)",(-2),,02:03:12,"01:51:30 (-1)",,"01:58:35 (-1)","01:47:15 (-3)",
112,"team0244 NUIST_封印王座 南京信息工程大学",5,12:01:53,,,,03:22:44,,,"03:46:54 (-2)","01:28:43 (-2)",,01:14:01,"00:29:31 (-1)",
113,"team0788 毛球 深圳中学",5,12:07:49,,"04:34:12 (-3)",,02:33:26,,,,00:42:14,,"01:50:51 (-3)",00:27:06,
114,"team0558 FZU3 福州大学",5,12:16:24,,,,03:43:52,,,04:46:10,"00:45:08 (-1)",,02:28:04,00:13:10,
115,"team0744 先生，这得花不少token 哈尔滨工业大学（威海）",5,12:16:46,,,,02:34:59,,(-1),03:06:42,"00:38:25 (-1)",,01:29:15,04:07:25,
116,"team0905 2026杭电5队 杭州电子科技大学",5,12:17:29,,,,02:18:28,(-2),(-6),04:48:12,"00:51:47 (-1)",,"02:21:35 (-2)",00:57:27,
117,"team0031 飘向北方 山东理工大学",5,12:23:01,,,,"02:26:34 (-1)",,,04:27:26,"00:51:54 (-1)",,"02:33:58 (-1)",01:03:09,
118,"team0435 zafu1 浙江农林大学",5,12:26:41,,,,02:55:13,,,"04:11:39 (-1)","01:56:53 (-2)",,"01:37:51 (-1)",00:25:05,
119,"team0623 杭电元老队 杭州电子科技大学",5,12:33:27,,,,"03:17:36 (-3)",,03:01:24,,"02:01:43 (-2)",,01:19:55,"00:32:49 (-2)",
120,"team0760 NFLS-T05 南京外国语学校",5,12:37:30,,,,"02:30:58 (-4)",,,03:03:52,"01:02:35 (-2)",,"02:51:06 (-2)",00:28:59,
121,"team0574 YWZX04 义乌中学",5,12:45:28,,,,02:26:00,,,03:50:41,01:02:33,,04:09:26,01:16:48,
122,"team0016 螺旋飞升 广东工业大学",5,12:47:01,,,,"03:13:19 (-1)",,(-1),"04:02:52 (-1)","02:13:23 (-1)",,01:26:27,00:51:00,
123,"team0889 再来一咕嘎 西安工业大学",5,12:48:01,,,,04:16:16,,,03:05:04,01:32:53,,02:42:14,01:11:34,
124,"team0821 电子白脸角鸮不会被捕 华中科技大学",5,12:56:24,,(-1),,03:46:20,,(-3),03:42:42,"02:12:20 (-1)",,"01:15:24 (-1)",01:19:38,
125,"team0686 njusz01 南京大学苏州校区",5,13:00:01,,,,"01:39:52 (-2)",,(-2),"03:35:21 (-1)","01:43:49 (-4)",,03:01:20,00:39:39,
126,"team0763 NFLS-T08 南京外国语学校",5,13:01:46,,,(-10),"03:18:04 (-8)",,(-8),"01:56:05 (-3)","00:33:51 (-2)",,"01:09:26 (-1)","01:04:20 (-1)",
127,"team0395 九紫星 华南理工大学",5,13:04:19,,,,"02:47:52 (-3)",,,03:49:46,00:34:39,,"03:10:46 (-3)",00:41:16,
128,"team0149 ZJNU-1 浙江师范大学",5,13:18:02,,,,"02:43:28 (-5)",,(-2),"03:45:46 (-4)",01:11:31,,"01:58:24 (-1)",00:18:53,
129,"team0705 卡卡 吉林大学",5,13:21:41,,,,"01:36:53 (-4)",,,04:35:08,"00:37:51 (-1)",,"02:05:54 (-3)","00:45:55 (-3)",
130,"team0529 绍一4队 绍兴市第一中学",5,13:28:56,,,,"03:24:27 (-3)",,,03:24:43,"01:31:22 (-3)",,"01:55:28 (-1)",00:52:56,
131,"team0136 铁花飞 长江大学",5,13:34:28,,,,03:29:46,,,"04:57:49 (-1)","02:00:32 (-3)",,01:01:18,00:45:03,
132,"team0554 温中4队 温州中学",5,13:37:14,(-1),,,03:32:07,,,"01:21:54 (-3)","01:01:43 (-2)",,02:14:35,"02:46:55 (-3)",
133,"team0982 金陵2队 南京市第一中学",5,13:44:11,,,,"03:05:28 (-3)",,03:33:56,(-6),"01:22:20 (-3)",,02:07:44,01:34:43,
134,"team0904 2026杭电4队 杭州电子科技大学",5,13:47:57,,,,02:24:33,,"04:01:04 (-5)",,"01:12:05 (-3)",,"01:49:00 (-1)",01:21:15,
135,"team0571 YWZX01 义乌中学",5,13:55:20,,,,03:41:24,,,04:21:46,00:36:28,,02:41:01,02:34:41,
136,"team0494 有点太草率了 北京理工大学",5,14:00:44,,,(-1),02:29:23,,04:30:45,,"02:34:49 (-5)",,00:54:58,"01:30:49 (-1)",
137,"team0666 NJU-T16 南京大学",5,14:01:35,,,,04:08:03,,,02:45:31,"02:53:15 (-3)",,"02:09:37 (-1)",00:45:09,
138,"team0717 悲怆 吉林大学",5,14:04:16,,,,03:58:17,,,04:46:19,"01:42:18 (-1)",,02:34:15,00:43:07,
139,"team0053 哀兵 兰州大学",5,14:17:45,,,,03:45:56,,,03:28:55,"01:01:07 (-2)",,"02:04:03 (-3)",02:17:44,
140,"team0651 NJU-T01 南京大学",5,14:25:36,,,,"04:08:50 (-1)","03:31:43 (-1)",,,02:30:08,,02:42:39,00:52:16,
141,"team0233 浙江财经大学1队 浙江财经大学",5,14:29:57,,,,02:05:04,,,"02:18:33 (-2)","01:26:35 (-5)",,01:02:16,"04:17:29 (-3)",
142,"team0039 华东师大二附中二队 华东师范大学第二附属中学",5,14:30:48,,,"03:59:33 (-2)","03:32:05 (-4)",,(-18),(-1),01:24:14,,"02:27:40 (-1)",00:47:16,
143,"team0843 北化2队 北京化工大学",5,14:31:35,,,,03:02:46,,,04:27:49,"02:12:46 (-3)",,"00:30:22 (-1)","01:57:52 (-3)",
144,"team0606 Dyca 合肥168中学",5,14:47:08,,,,04:16:51,,(-1),03:20:09,"02:22:00 (-2)",,"02:49:40 (-1)",00:58:28,
145,"team0802 你一句别送我就往前冲 南开大学",5,14:49:27,,,,"03:37:54 (-7)",,,03:24:07,"00:53:12 (-2)",,"02:02:02 (-2)",01:12:12,
146,"team0458 NEU_Team16 东北大学",5,15:12:52,,,,03:31:37,,,"03:18:27 (-2)","01:46:16 (-4)",,02:29:13,"01:27:19 (-2)",
147,"team0114 宝小姐又换了手机号 华东师范大学",5,15:34:28,(-1),,,04:20:11,,(-4),02:56:50,"03:23:49 (-3)",,02:14:15,01:39:23,
148,"team0776 NFLS-T21 南京外国语学校",5,15:43:36,"04:33:06 (-2)",,,"04:12:22 (-2)",,,,"00:56:03 (-1)",,"01:12:20 (-1)","02:29:45 (-1)",
149,"team0097 在学校咱们就练起来！ 北京邮电大学",5,15:44:52,,,,01:42:08,,,03:37:50,"01:14:20 (-1)",,"03:57:33 (-13)",00:33:01,
150,"team0367 捉鬼小队 东南大学",5,15:47:33,,,,"04:57:07 (-3)",,,"04:01:22 (-1)",01:38:45,,"02:19:27 (-1)",01:10:52,
151,"team0230 六神合体 湖南长沙麓山国际实验学校",5,15:54:00,(-2),,(-1),"01:32:18 (-2)",,03:28:12,(-5),"02:48:50 (-5)",,"03:14:36 (-3)",01:30:04,
